iter	Passed	Remaining
573	5672	4209
574	5683	4200
575	5693	4190
576	5703	4181
577	5712	4171
578	5722	4160
579	5733	4151
580	5743	4142
581	5753	4132
582	5763	4122
583	5774	4113
584	5784	4103
585	5794	4093
586	5803	4083
587	5812	4072
588	5822	4062
589	5832	4053
590	5843	4043
591	5853	4034
592	5863	4024
593	5874	4014
594	5883	4004
595	5892	3994
596	5902	3984
597	5913	3975
598	5923	3965
599	5934	3956
600	5945	3946
601	5956	3937
602	5967	3929
603	5979	3920
604	5990	3911
605	6002	3902
606	6014	3893
607	6024	3884
608	6035	3875
609	6046	3865
610	6057	3856
611	6068	3847
612	6079	3838
613	6088	3827
614	6098	3817
615	6108	3808
616	6117	3797
617	6128	3787
618	6138	3778
619	6148	3768
620	6158	3758
621	6168	3749
622	6179	3739
623	6189	3729
624	6199	3719
625	6209	3709
626	6219	3700
627	6230	3690
628	6240	3680
629	6250	3671
630	6260	3661
631	6269	3650
632	6278	3640
633	6289	3630
634	6299	3621
635	6309	3611
636	6317	3600
637	6327	3590
638	6338	3580
639	6347	3570
640	6357	3560
641	6366	3550
642	6377	3540
643	6388	3531
644	6398	3521
645	6408	3511
646	6417	3501
647	6427	3491
648	6437	3481
649	6447	3471
650	6458	3462
651	6469	3453
652	6478	3442
653	6489	3433
654	6499	3423
655	6509	3413
656	6520	3404
657	6530	3394
658	6540	3384
659	6551	3375
660	6561	3364
661	6571	3355
662	6581	3345
663	6591	3335
664	6601	3325
665	6611	3315
666	6620	3305
667	6628	3294
668	6639	3284
669	6649	3275
670	6659	3265
671	6669	3255
672	6679	3245
673	6688	3235
674	6698	3225
675	6708	3215
676	6718	3205
677	6727	3195
678	6737	3185
679	6747	3175
680	6757	3165
681	6768	3155
682	6778	3146
683	6785	3134
684	6794	3124
685	6804	3114
686	6814	3104
687	6825	3095
688	6835	3085
689	6844	3075
690	6853	3064
691	6862	3054
692	6872	3044
693	6883	3035
694	6893	3025
695	6904	3015
696	6914	3005
697	6924	2995
698	6934	2986
699	6944	2976
700	6954	2966
701	6965	2956
702	6975	2946
703	6984	2936
704	6994	2926
705	7004	2916
706	7014	2906
707	7024	2897
708	7035	2887
709	7045	2877
710	7056	2868
711	7067	2858
712	7077	2848
713	7088	2839
714	7098	2829
715	7109	2819
716	7120	2810
717	7130	2800
718	7139	2790
719	7149	2780
720	7161	2771
721	7171	2761
722	7181	2751
723	7192	2741
724	7204	2732
725	7219	2724
726	7231	2715
727	7242	2706
728	7253	2696
729	7264	2686
730	7274	2676
731	7284	2667
732	7297	2658
733	7308	2648
734	7318	2638
735	7328	2628
736	7338	2618
737	7348	2608
738	7357	2598
739	7368	2588
740	7378	2579
741	7388	2569
742	7398	2559
743	7407	2548
744	7417	2538
745	7427	2528
746	7437	2519
747	7448	2509
748	7456	2498
749	7467	2489
750	7481	2480
751	7492	2470
752	7502	2460
753	7512	2450
754	7522	2441
755	7531	2430
756	7542	2421
757	7553	2411
758	7563	2401
759	7573	2391
760	7584	2382
761	7595	2372
762	7604	2362
763	7615	2352
764	7624	2342
765	7634	2332
766	7644	2322
767	7654	2312
768	7663	2302
769	7674	2292
770	7685	2282
771	7695	2272
772	7706	2263
773	7717	2253
774	7727	2243
775	7738	2233
776	7749	2223
777	7759	2214
778	7769	2204
779	7779	2194
780	7788	2184
781	7799	2174
782	7808	2164
783	7819	2154
784	7830	2144
785	7839	2134
786	7849	2124
787	7859	2114
788	7869	2104
789	7879	2094
790	7889	2084
791	7899	2074
792	7909	2064
793	7916	2053
794	7926	2044
795	7937	2034
796	7946	2024
797	7955	2013
798	7966	2004
799	7975	1993
800	7985	1983
801	7995	1973
802	8004	1963
803	8014	1953
804	8023	1943
805	8034	1933
806	8044	1923
807	8055	1914
808	8066	1904
809	8075	1894
810	8083	1883
811	8092	1873
812	8102	1863
813	8112	1853
814	8123	1844
815	8133	1834
816	8144	1824
817	8153	1814
818	8163	1804
819	8174	1794
820	8185	1784
821	8193	1774
822	8203	1764
823	8211	1753
824	8222	1744
825	8232	1734
826	8242	1724
827	8253	1714
828	8262	1704
829	8272	1694
830	8283	1684
831	8294	1674
832	8303	1664
833	8314	1654
834	8324	1644
835	8334	1634
836	8343	1624
837	8352	1614
838	8362	1604
839	8373	1594
840	8383	1584
841	8393	1575
842	8403	1565
843	8413	1555
844	8424	1545
845	8434	1535
846	8445	1525
847	8453	1515
848	8462	1505
849	8472	1495
850	8480	1484
851	8491	1475
852	8501	1465
853	8511	1455
854	8520	1445
855	8531	1435
856	8541	1425
857	8551	1415
858	8561	1405
859	8572	1395
860	8582	1385
861	8592	1375
862	8602	1365
863	8610	1355
864	8620	1345
865	8630	1335
866	8641	1325
867	8651	1315
868	8661	1305
869	8671	1295
870	8681	1285
871	8691	1275
872	8701	1265
873	8711	1255
874	8721	1245
875	8731	1235
876	8741	1225
877	8749	1215
878	8760	1205
879	8770	1195
880	8780	1185
881	8789	1175
882	8799	1165
883	8810	1156
884	8820	1146
885	8830	1136
886	8841	1126
887	8852	1116
888	8862	1106
889	8871	1096
890	8882	1086
891	8890	1076
892	8900	1066
893	8910	1056
894	8920	1046
895	8931	1036
896	8940	1026
897	8951	1016
898	8962	1006
899	8973	997
900	8983	987
901	8993	977
902	9003	967
903	9012	957
904	9022	947
905	9032	937
906	9041	927
907	9052	917
908	9062	907
909	9073	897
910	9083	887
911	9093	877
912	9103	867
913	9114	857
914	9125	847
915	9135	837
916	9146	827
917	9156	817
918	9166	807
919	9176	797
920	9186	787
921	9196	777
922	9208	768
923	9218	758
924	9227	748
925	9237	738
926	9248	728
927	9259	718
928	9269	708
929	9278	698
930	9287	688
931	9298	678
932	9309	668
933	9319	658
934	9328	648
935	9337	638
936	9348	628
937	9356	618
938	9365	608
939	9375	598
940	9386	588
941	9396	578
942	9406	568
943	9417	558
944	9427	548
945	9438	538
946	9448	528
947	9457	518
948	9466	508
949	9475	498
950	9485	488
951	9496	478
952	9506	468
953	9516	458
954	9526	448
955	9536	438
956	9546	428
957	9555	418
958	9566	408
959	9574	398
960	9584	388
961	9594	378
962	9604	369
963	9615	359
964	9626	349
965	9636	339
966	9646	329
967	9657	319
968	9666	309
969	9676	299
970	9686	289
971	9696	279
972	9706	269
973	9717	259
974	9727	249
975	9737	239
976	9745	229
977	9755	219
978	9765	209
979	9775	199
980	9784	189
981	9794	179
982	9805	169
983	9816	159
984	9826	149
985	9836	139
986	9846	129
987	9857	119
988	9866	109
989	9876	99
990	9886	89
991	9895	79
992	9904	69
993	9914	59
994	9924	49
995	9934	39
996	9945	29
997	9955	19
998	9965	9
999	9974	0
