iter	Passed	Remaining
956	7094	318
957	7100	311
958	7107	303
959	7115	296
960	7123	289
961	7130	281
962	7137	274
963	7144	266
964	7151	259
965	7158	251
966	7166	244
967	7174	237
968	7182	229
969	7189	222
970	7197	214
971	7204	207
972	7213	200
973	7220	192
974	7227	185
975	7235	177
976	7242	170
977	7250	163
978	7258	155
979	7266	148
980	7273	140
981	7281	133
982	7288	126
983	7296	118
984	7304	111
985	7312	103
986	7319	96
987	7327	88
988	7334	81
989	7342	74
990	7350	66
991	7358	59
992	7366	51
993	7374	44
994	7381	37
995	7388	29
996	7396	22
997	7404	14
998	7412	7
999	7419	0
